tag.code,tagger,release
G720019A1,tagger.A,early
G72002FC2,tagger.A,early
G72004FA7,tagger.A,early
G720087AF,tagger.A,early
G720091EF,tagger.A,early
G72013D27,tagger.A,early
G7201587D,tagger.A,early
G720174FD,tagger.A,early
G72019F34,tagger.A,early
G7201A277,tagger.A,early
G7201B108,tagger.A,early
G7201B894,tagger.A,early
G7201C34C,tagger.A,early
G7201D452,tagger.A,early
G7201DE2C,tagger.A,early
G7201E36F,tagger.A,early
G72026054,tagger.A,early
G720274A8,tagger.A,early
G7202AD63,tagger.A,early
G7202E4B9,tagger.A,early
G72030A8B,tagger.A,early
G72030C56,tagger.A,early
G72031A16,tagger.A,early
G720337C8,tagger.A,early
G720339D7,tagger.A,early
G720359B2,tagger.A,early
G7203622C,tagger.A,early
G72038A07,tagger.A,early
G72039767,tagger.A,early
G7203B95B,tagger.A,early
G7203DEBD,tagger.A,early
G7203EE03,tagger.A,early
G7203F363,tagger.A,early
G72041A78,tagger.A,early
G7204351A,tagger.A,early
G72044261,tagger.A,early
G72044BFD,tagger.A,early
G72046962,tagger.A,early
G72046A80,tagger.A,early
G72046FBF,tagger.A,early
G72047F22,tagger.A,early
G7204908A,tagger.A,early
G7204AB14,tagger.A,early
G7204D0CC,tagger.A,early
G7204D74F,tagger.A,early
G7204DBEC,tagger.A,early
G7204E9EE,tagger.A,early
G7204FBCF,tagger.A,early
G720542A5,tagger.A,early
G72054478,tagger.A,early
G72055846,tagger.A,early
G7205793B,tagger.A,early
G7205818D,tagger.A,early
G72058D2E,tagger.A,early
G72059E51,tagger.A,early
G7205B133,tagger.A,early
G7205B38F,tagger.A,early
G7205B8AF,tagger.A,early
G7205BB4D,tagger.A,early
G7205C5AA,tagger.A,early
G7205E4D7,tagger.A,early
G7205EFF7,tagger.A,early
G7205F297,tagger.A,early
G72060996,tagger.A,early
G7206865B,tagger.A,early
G7206AFE4,tagger.A,early
G7206C322,tagger.A,early
G7206C743,tagger.A,early
G7206C802,tagger.A,early
G7206E1BD,tagger.A,early
G7206EA9D,tagger.A,early
G72070613,tagger.A,early
G720744E9,tagger.A,early
G72074E97,tagger.A,early
G7207A7E2,tagger.A,early
G7207DBB9,tagger.A,early
G7207E3C5,tagger.A,early
G7207F358,tagger.A,early
G7207FC19,tagger.A,early
G72081CE8,tagger.A,early
G72082837,tagger.A,early
G72084FD1,tagger.A,early
G720858CF,tagger.A,early
G7208AB59,tagger.A,early
G7208CB3C,tagger.A,early
G7208E3DD,tagger.A,early
G7208E8FD,tagger.A,early
G7208EF7E,tagger.A,early
G7208F67F,tagger.A,early
G72090473,tagger.A,early
G72090CB1,tagger.A,early
G72091C2C,tagger.A,early
G72092031,tagger.A,early
G720931F2,tagger.A,early
G7209410A,tagger.A,early
G7209A1E3,tagger.A,early
G7209B3C2,tagger.A,early
G7209B441,tagger.A,early
G7209C33A,tagger.A,early
G7209C605,tagger.A,early
G7209C944,tagger.A,early
G7209CF99,tagger.A,early
G7209E626,tagger.A,early
G7209E967,tagger.A,early
G7209F384,tagger.A,early
G720A4E1E,tagger.A,early
G720A651D,tagger.A,early
G720A6DDF,tagger.A,early
G720AAC4B,tagger.A,early
G720AC650,tagger.A,early
G720ACAF3,tagger.A,early
G720ACBAD,tagger.A,early
G720AD2AC,tagger.A,early
G720AD8D2,tagger.A,early
G720AFA4D,tagger.A,early
G720B3F7C,tagger.A,early
G720B40C5,tagger.A,early
G720BA172,tagger.A,early
G720BAB0C,tagger.A,early
G720BB353,tagger.A,early
G720BE8A8,tagger.A,early
G720BE9F6,tagger.A,early
G720BEB4A,tagger.A,early
G720BF496,tagger.A,early
G720BF5C8,tagger.A,early
G720C0251,tagger.A,early
G720C0EF2,tagger.A,early
G720C16AD,tagger.A,early
G720C2190,tagger.A,early
G720C2AB0,tagger.A,early
G720C2C6D,tagger.A,early
G720C3891,tagger.A,early
G720C4594,tagger.A,early
G720C5DCB,tagger.A,early
G720C7B35,tagger.A,early
G720C7E0A,tagger.A,early
G720C82DD,tagger.A,early
G720C8D9C,tagger.A,early
G720C977F,tagger.A,early
G720C9A82,tagger.A,early
G720CAE5D,tagger.A,early
G720CBC7C,tagger.A,early
G720CC179,tagger.A,early
G720CDFFB,tagger.A,early
G720CE465,tagger.A,early
G720CE998,tagger.A,early
G720CEA7A,tagger.A,early
G720CFAE7,tagger.A,early
G720D14D5,tagger.A,early
G720D1C17,tagger.A,early
G720D2DF7,tagger.A,early
G720D322B,tagger.A,early
G720D406F,tagger.A,early
G720D4550,tagger.A,early
G720D49F3,tagger.A,early
G720D4E70,tagger.A,early
G720D6112,tagger.A,early
G720D7D2C,tagger.A,early
G720D8D58,tagger.A,early
G720D96E5,tagger.A,early
G720D9B18,tagger.A,early
G720DA1D8,tagger.A,early
G720DA364,tagger.A,early
G720DAFC7,tagger.A,early
G720DD120,tagger.A,early
G720DE27C,tagger.A,early
G720DE802,tagger.A,early
G720E0F3D,tagger.A,early
G720E327E,tagger.A,early
G720E43D8,tagger.A,early
G720E50A7,tagger.A,early
G720E51F9,tagger.A,early
G720E7918,tagger.A,early
G720E9133,tagger.A,early
G720E9CCE,tagger.A,early
G720EA60E,tagger.A,early
G720EC20A,tagger.A,early
G720EC354,tagger.A,early
G720ECB96,tagger.A,early
G720ECEA9,tagger.A,early
G720ED7A8,tagger.A,early
G720EF2B4,tagger.A,early
G720EF8CA,tagger.A,early
G720EFA76,tagger.A,early
G720F0587,tagger.A,early
G720F4242,tagger.A,early
G720F58A1,tagger.A,early
G720F5A1D,tagger.A,early
G720F8E2B,tagger.A,early
G720F9596,tagger.A,early
G720FB5B5,tagger.A,early
G720FDBCF,tagger.A,early
G720FE2ED,tagger.A,early
G720FFC6F,tagger.A,early
G721048C8,tagger.A,early
G72105AE9,tagger.A,early
G721085FF,tagger.A,early
G7210DE04,tagger.A,early
G7210F8FA,tagger.A,early
G72110E97,tagger.A,early
G72116C4E,tagger.A,early
G72118998,tagger.A,early
G7211AF66,tagger.A,early
G72123402,tagger.A,early
G721239FF,tagger.A,early
G721260B8,tagger.A,early
G721282ED,tagger.A,early
G72128430,tagger.A,early
G72129AB2,tagger.A,early
G7212AB52,tagger.A,early
G7212C528,tagger.A,early
G721311DA,tagger.A,early
G72132DC7,tagger.A,early
G72134560,tagger.A,early
G7213725D,tagger.A,early
G7213797D,tagger.A,early
G72139994,tagger.A,early
G7213B297,tagger.A,early
G7213EBD0,tagger.A,early
G72141637,tagger.A,early
G721443D3,tagger.A,early
G7214534E,tagger.A,early
G72147BAF,tagger.A,early
G72149E79,tagger.A,early
G7214E1C0,tagger.A,early
G72152713,tagger.A,early
G72155068,tagger.A,early
G72155F29,tagger.A,early
G7215704B,tagger.A,early
G72157A35,tagger.A,early
G72157DB6,tagger.A,early
G72158283,tagger.A,early
G721583DD,tagger.A,early
G7215993E,tagger.A,early
G72159EBD,tagger.A,early
G7215A3FE,tagger.A,early
G7215ADE1,tagger.A,early
G7215BE9E,tagger.A,early
G7215FC64,tagger.A,early
G721601B8,tagger.A,early
G72163058,tagger.A,early
G72163DA5,tagger.A,early
G7216459F,tagger.A,early
G72168CC9,tagger.A,early
G7216B5EB,tagger.A,early
G7216B948,tagger.A,early
G7216C44D,tagger.A,early
G7216C7AF,tagger.A,early
G7216CF6D,tagger.A,early
G7216D4D0,tagger.A,early
G7216E46E,tagger.A,early
G7216F5AD,tagger.A,early
G7216F64F,tagger.A,early
G72170C81,tagger.A,early
G72171B9F,tagger.A,early
G721731C2,tagger.A,early
G7217583B,tagger.A,early
G72175D04,tagger.A,early
G72176426,tagger.A,early
G72178EB1,tagger.A,early
G7217AD70,tagger.A,early
G7217BB30,tagger.A,early
G7217D6A8,tagger.A,early
G7217DD88,tagger.A,early
G72183E9B,tagger.A,early
G7218441D,tagger.A,early
G7218719C,tagger.A,early
G7218C832,tagger.A,early
G7218EAAD,tagger.A,early
G72190623,tagger.A,early
G72192183,tagger.A,early
G721964FA,tagger.A,early
G72196BBB,tagger.A,early
G7219976C,tagger.A,early
G72199EF0,tagger.A,early
G7219F848,tagger.A,early
G721AA787,tagger.A,early
G721AAA7A,tagger.A,early
G721AAE1B,tagger.A,early
G721AC2DD,tagger.A,early
G721AEA3C,tagger.A,early
G721AEB62,tagger.A,early
G721B10F2,tagger.A,early
G721B1C51,tagger.A,early
G721B2A32,tagger.A,early
G721B2E53,tagger.A,early
G721B3813,tagger.A,early
G721B394D,tagger.A,early
G721B49B5,tagger.A,early
G721B5B94,tagger.A,early
G721B66D7,tagger.A,early
G721B7D6A,tagger.A,early
G721B85DC,tagger.A,early
G721BBCFE,tagger.A,early
G721BBE42,tagger.A,early
G721BD038,tagger.A,early
G721BDF79,tagger.A,early
G721BF987,tagger.A,early
G721C08C3,tagger.A,early
G721C14FD,tagger.A,early
G721C185E,tagger.A,early
G721C1D61,tagger.A,early
G721C2022,tagger.A,early
