node_code,latitude,longitude,river_km,location,location_xlat,deploy_date,recovery_date,elev_or_depth
RIBZ1,47.34711011,-120.1061847,730.5,RIBZ,730.5_01,4/16/2021 0:00,6/14/2021 0:00,0
RIBZ2,47.34749624,-120.1047457,730.5,RIBZ,730.5_02,4/16/2021 0:00,6/14/2021 0:00,0
RIBZ3,47.34790834,-120.1033564,730.5,RIBZ,730.5_03,4/16/2021 0:00,6/14/2021 0:00,0
RIBZ4,47.34833731,-120.1019479,730.5,RIBZ,730.5_04,4/16/2021 0:00,6/14/2021 0:00,0
RIBZ5,47.34889323,-120.1000793,730.5,RIBZ,730.5_05,4/16/2021 0:00,6/14/2021 0:00,0
RIFB1,47.33972569,-120.0956208,729.8,RIFB,729.8_01,4/16/2021 0:00,6/14/2021 0:00,0
RIFB2,47.34029568,-120.0958306,729.8,RIFB,729.8_02,4/16/2021 0:00,6/14/2021 0:00,0
RIFB3,47.34094788,-120.095513,729.8,RIFB,729.8_03,4/16/2021 0:00,6/14/2021 0:00,0
RIFB4,47.3414741,-120.0961221,729.8,RIFB,729.8_04,4/16/2021 0:00,6/14/2021 0:00,0
RIFB5,47.34237991,-120.0960074,729.8,RIFB,729.8_05,4/16/2021 0:00,6/14/2021 0:00,0
RIFB6,47.34374255,-120.0946645,729.8,RIFB,729.8_06,4/16/2021 0:00,6/14/2021 0:00,0
RIFB7,47.34402055,-120.0934007,729.8,RIFB,729.8_07,4/16/2021 0:00,6/14/2021 0:00,0
RIFB8,47.34483165,-120.0939149,729.8,RIFB,729.8_08,4/16/2021 0:00,6/14/2021 0:00,0
RIFB9,47.34557532,-120.0938457,729.8,RIFB,729.8_09,4/16/2021 0:00,6/14/2021 0:00,0
RIFB10,47.34631402,-120.0937679,729.8,RIFB,729.8_10,4/16/2021 0:00,6/14/2021 0:00,0
RIDF1,47.34028343,-120.0944173,729.6,RIDF,729.6_01,4/16/2021 0:00,6/14/2021 0:00,0
RIDF2,47.34069104,-120.094596,729.6,RIDF,729.6_02,4/16/2021 0:00,6/14/2021 0:00,0
RIDF3,47.34110301,-120.0947722,729.6,RIDF,729.6_03,4/16/2021 0:00,6/14/2021 0:00,0
RIDF4,47.34154186,-120.0948794,729.6,RIDF,729.6_04,4/16/2021 0:00,6/14/2021 0:00,0
RIDF5,47.34348043,-120.093071,729.6,RIDF,729.6_05,4/16/2021 0:00,6/14/2021 0:00,0
RIDF6,47.34380553,-120.0926531,729.6,RIDF,729.6_06,4/16/2021 0:00,6/14/2021 0:00,0
RIDF7,47.34423342,-120.0926132,729.6,RIDF,729.6_07,4/16/2021 0:00,6/14/2021 0:00,0
CBAR1,47.22280938,-120.0496848,713.7,CBAR,713.7_01,4/16/2021 0:00,6/15/2021 0:00,0
CBAR2,47.22346058,-120.0499474,713.7,CBAR,713.7_02,4/16/2021 0:00,6/15/2021 0:00,0
CBAR3,47.22411177,-120.05021,713.7,CBAR,713.7_03,4/16/2021 0:00,6/15/2021 0:00,0
CBAR4,47.22473606,-120.0504147,713.7,CBAR,713.7_04,4/16/2021 0:00,6/15/2021 0:00,0
CBAR5,47.2253736,-120.0506191,713.7,CBAR,713.7_05,4/16/2021 0:00,6/15/2021 0:00,0
SLND1,47.11870567,-120.0119317,698.5,SLND,698.5_01,4/16/2021 0:00,6/15/2021 0:00,0
SLND2,47.11835924,-120.010883,698.5,SLND,698.5_02,4/16/2021 0:00,6/15/2021 0:00,0
SLND3,47.11799496,-120.0098436,698.5,SLND,698.5_03,4/16/2021 0:00,6/15/2021 0:00,0
SLND4,47.11760163,-120.0088154,698.5,SLND,698.5_04,4/16/2021 0:00,6/15/2021 0:00,0
SLND5,47.11724546,-120.0078932,698.5,SLND,698.5_05,4/16/2021 0:00,5/15/2021 0:00,0
SLND6,47.11724546,-120.0078932,698.5,SLND,698.5_06,5/10/2021 0:00,6/15/2021 0:00,0
