tag_code,tagger_name,bucket,lot,species_code,length,weight,pit_code,tag_date,activation_date,release_date,release_location,release_river_km,mortality,tag_AssignedRelease
G72051F83,A,7,1,11H,161,41,,4/22/2021 0:00,4/21/2021 13:24,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7205BF2C,A,3,1,11H,149,33.5,,4/22/2021 0:00,4/21/2021 13:38,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G720720ED,A,3,1,11H,137,25,,4/22/2021 0:00,4/21/2021 13:17,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G720BF24B,A,4,1,11H,140,27,,4/22/2021 0:00,4/21/2021 13:39,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7214AD25,A,3,1,11W,125,21,,4/22/2021 0:00,4/21/2021 13:16,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G721633BA,A,1,1,11H,146,30.5,,4/22/2021 0:00,4/21/2021 13:34,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72179E2C,A,2,1,11H,156,38,,4/22/2021 0:00,4/21/2021 13:15,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G721A04CA,A,5,1,11H,148,31,,4/22/2021 0:00,4/21/2021 13:21,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G721E79F4,A,9,1,11H,132,23,,4/22/2021 0:00,4/21/2021 13:48,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7223BF47,A,9,1,11H,135,25,,4/22/2021 0:00,4/21/2021 13:28,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G722471FC,A,8,1,11H,145,31,,4/22/2021 0:00,4/21/2021 13:47,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7224B38A,A,2,1,11H,140,29.5,,4/22/2021 0:00,4/21/2021 13:14,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7227A4C1,A,5,1,11H,157,38.5,,4/22/2021 0:00,4/21/2021 13:20,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G722EA3F0,A,9,1,11H,141,27.5,,4/22/2021 0:00,4/21/2021 13:27,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G723761D8,A,10,1,11H,157,43,,4/22/2021 0:00,4/21/2021 13:30,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G7237E154,A,6,1,11H,163,43,,4/22/2021 0:00,4/21/2021 13:22,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G72389EF5,A,4,1,11H,148,31.5,,4/22/2021 0:00,4/21/2021 13:19,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G723A02D6,A,8,1,11W,148,32.5,,4/22/2021 0:00,4/21/2021 13:25,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
G723BE69A,A,10,1,11H,155,40.5,,4/22/2021 0:00,4/21/2021 13:29,4/23/2021 9:00,Rocky Reach Tailrace,762,0,RR01
